Year,Month,Temperature ,Rain
1901,1,16.98,18.54
1901,2,19.9,16.25
1901,3,24.32,70.8
1901,4,28.18,66.16
1901,5,27.89,267.22
1901,6,28.89,341.04
1901,7,28.33,540.91
1901,8,27.92,493.21
1901,9,27.61,291.55
1901,10,27.09,199.17
1901,11,22.17,126.29
1901,12,18.56,1.69
1902,1,18.55,1.29
1902,2,20.13,0.15
1902,3,25.55,62.77
1902,4,26.56,229.59
1902,5,27.32,302.2
1902,6,28.27,528.78
1902,7,27.62,415.26
1902,8,28.1,435.17
1902,9,27.73,282.87
1902,10,26.02,76.65
1902,11,21.99,4.48
1902,12,18.25,6.52
1903,1,17.7,2.4
1903,2,19.55,16.71
1903,3,24.36,35.02
1903,4,28.09,79.89
1903,5,28.59,206.71
1903,6,27.91,606.09
1903,7,28.69,376.79
1903,8,27.59,401.08
1903,9,27.75,288.78
1903,10,26.86,190.12
1903,11,22.43,53.8
1903,12,18.37,0.01
1904,1,17.79,0.33
1904,2,19.97,40.47
1904,3,25.01,32.02
1904,4,27.31,169.24
1904,5,27.12,317.76
1904,6,27.81,525.69
1904,7,27.44,707.4
1904,8,27.91,367.38
1904,9,27.96,181.87
1904,10,26.29,72.99
1904,11,22.15,32.95
1904,12,18.78,1.98
1905,1,17,7.07
1905,2,17.83,22.91
1905,3,22.99,78.96
1905,4,25.42,203.01
1905,5,27.12,315.75
1905,6,29.09,224.89
1905,7,27.86,559.8
1905,8,27.49,624.07
1905,9,27.82,623.69
1905,10,26.5,133.63
1905,11,22.69,4.92
1905,12,18.67,7.62
1906,1,17.54,13.95
1906,2,19.43,65.68
1906,3,23.05,53.43
1906,4,27.99,29.63
1906,5,28.44,229.51
1906,6,28.3,357.97
1906,7,28.33,487.92
1906,8,27.47,388.64
1906,9,28.39,212.27
1906,10,26.43,185.89
1906,11,22.8,48.95
1906,12,19.21,0.01
1907,1,19.06,10.79
1907,2,19.71,28.68
1907,3,23.15,123.02
1907,4,26.15,115.43
1907,5,27.66,234.76
1907,6,27.84,549.54
1907,7,27.84,327.09
1907,8,28.2,223.52
1907,9,27.9,269.98
1907,10,26.78,51.22
1907,11,22.75,9.41
1907,12,18.7,13.59
1908,1,17.29,8
1908,2,20.21,12.58
1908,3,25.06,8.36
1908,4,29.33,44.76
1908,5,28.09,281.54
1908,6,28.31,786.25
1908,7,27.95,454.24
1908,8,28.05,696.27
1908,9,28.01,239.95
1908,10,26.56,70.08
1908,11,22.17,3.32
1908,12,18.33,0.07
1909,1,18.69,3.06
1909,2,20.16,5.51
1909,3,26,0.06
1909,4,26.49,297.62
1909,5,27.97,209.15
1909,6,27.27,732.78
1909,7,28.11,353.25
1909,8,27.41,407.44
1909,9,28.34,193.23
1909,10,26.89,162.6
1909,11,23.66,15.81
1909,12,19.12,10.67
1910,1,17.78,8.72
1910,2,20,23.46
1910,3,24.37,42.35
1910,4,26.91,118.09
1910,5,27.89,266.63
1910,6,27.39,547.48
1910,7,27.37,767.51
1910,8,27.88,306.79
1910,9,28.23,273.81
1910,10,26.28,177.51
1910,11,22.3,25.51
1910,12,18.18,0.04
1911,1,19.07,14.89
1911,2,19.61,5.67
1911,3,23.82,53.25
1911,4,26.99,120.24
1911,5,27.62,326.94
1911,6,27.51,605.52
1911,7,28.14,495.97
1911,8,27.75,737.19
1911,9,27.71,383.28
1911,10,26.02,153.62
1911,11,22.11,15.46
1911,12,17.75,0.01
1912,1,18.28,2.25
1912,2,20.91,29.72
1912,3,24.42,76.63
1912,4,26.04,162.34
1912,5,27.77,280.5
1912,6,28.31,432.56
1912,7,27.69,468.19
1912,8,27.77,334.72
1912,9,27.99,185.82
1912,10,26.27,218.29
1912,11,22.34,130.11
1912,12,18.33,4.99
1913,1,18.14,1.33
1913,2,20.72,52.75
1913,3,23.73,65.26
1913,4,27.98,109.44
1913,5,27.01,320.56
1913,6,26.84,766.41
1913,7,28.05,632.05
1913,8,27.72,608.19
1913,9,27.89,201.04
1913,10,26.08,244.72
1913,11,21.74,21.01
1913,12,18.15,19.5
1914,1,18,0.29
1914,2,20.68,33.75
1914,3,24.43,13.12
1914,4,25.85,227.22
1914,5,27.5,354.5
1914,6,27.95,522.4
1914,7,28.03,624.9
1914,8,27.56,358.84
1914,9,27.69,195.45
1914,10,25.43,55.23
1914,11,22.49,8.41
1914,12,19.21,16.66
1915,1,18.87,5.3
1915,2,20.27,32.78
1915,3,24.18,81.48
1915,4,27.53,144.34
1915,5,27.64,438.9
1915,6,27.78,644.84
1915,7,28.18,604.18
1915,8,28.18,423.69
1915,9,27.72,247.24
1915,10,28.13,140.36
1915,11,24.49,52.61
1915,12,19.09,0.92
1916,1,17.87,0.81
1916,2,20.42,7.77
1916,3,25.66,10.46
1916,4,27.32,330.5
1916,5,28.95,197.27
1916,6,27.61,603.19
1916,7,27.53,276.94
1916,8,27.87,437.71
1916,9,28.05,342.13
1916,10,26.67,333.45
1916,11,23.02,89.32
1916,12,18.22,2.13
1917,1,17.49,0.37
1917,2,19.87,37.71
1917,3,23.85,25.26
1917,4,26.93,149.65
1917,5,27.18,307.69
1917,6,27.44,570.2
1917,7,27.78,479.86
1917,8,27.9,340.54
1917,9,27.69,319.17
1917,10,26.55,298.59
1917,11,22.92,74.95
1917,12,18.6,0.08
1918,1,17.2,0.83
1918,2,20.01,4.45
1918,3,24.91,26.23
1918,4,26.63,186.42
1918,5,27.63,300.07
1918,6,26.49,583.02
1918,7,28.26,506.58
1918,8,27.5,478.53
1918,9,28.07,230.13
1918,10,26.59,83.04
1918,11,22.68,4.25
1918,12,18.47,5.1
1919,1,18.91,10.4
1919,2,19.71,10.9
1919,3,25.84,7.78
1919,4,27.16,135.89
1919,5,28.17,350.06
1919,6,28,429.51
1919,7,27.79,316.51
1919,8,28.38,806.55
1919,9,27.39,527.61
1919,10,26.41,77.11
1919,11,23.12,58.08
1919,12,18.92,1.21
1920,1,18.73,2.2
1920,2,19.87,25.75
1920,3,24.07,103.99
1920,4,27.04,82.05
1920,5,27.72,273.93
1920,6,28.66,434.4
1920,7,28.42,462.43
1920,8,27.84,519.61
1920,9,27.97,306.14
1920,10,26.91,121.03
1920,11,23.16,3.84
